funddwid,projectid,fundname,type,amount
57484,67462,City Capital,Loan,1236494
63820,67478,City Capital,Loan,20761564
57523,67494,City Capital,Loan,7942000
57472,67522,City Capital,Loan,16200000
57474,67523,City Capital,Loan,17995714
58090,67577,City Capital,Loan,69690000
58258,67577,Reso A,Loan,3300000
57519,67583,City Capital,Loan,1734904
59830,67583,Reso A,Loan,3500000
57466,67599,City Capital,Grant,12183590
60506,67632,Reso A,Loan,500000
60508,67632,City Capital,Loan,4548602
59596,67636,City Capital,Loan,2486640
69582,67647,City Capital,Loan,47591574
69583,67647,Reso A,Loan,2000000
62502,67672,City Capital,Loan,954813
57661,67746,City Capital,Loan,1041894
57659,67752,City Capital,Loan,1851398
69018,67768,Reso A,Grant,1125000
69013,67768,City Capital,Loan,25993221
60314,67788,City Capital,Loan,10700000
57641,67806,Reso A,Loan,880000
62515,67895,City Capital,Grant,8246372
67069,67899,Reso A,Loan,500000
67081,67899,HOME,Loan,7912221
63659,67910,Reso A,Loan,887000
63661,67910,City Capital,Loan,54711517
69622,67929,City Capital,Loan,36277030
59932,67960,City Capital,Loan,419479
67010,67981,City Capital,Loan,25929231
61358,67991,City Capital,Loan,2657356
70943,67995,City Capital,Loan,202592998
68711,67998,City Capital,Loan,12095659
